Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-72.55866	-81.08117	8.522508	0.0976221	0.063078	0.0247894	0.0187552	0.186431	0.187355	0.0684599	0.654092	0.277448
10	-70.38443	-76.23705	5.852627	0.159727	0.295265	0.0374694	0.0328193	0.219328	0.0330636	0.366191	0.334606	0.299204
20	-67.85303	-74.20239	6.349361	0.222928	0.170251	0.0352072	0.13374	0.0962192	0.0821842	0.374436	0.0509872	0.574577
30	-68.72302	-73.81958	5.096563	0.233465	0.0656721	0.0449632	0.250151	0.133115	0.106841	0.804024	0.139517	0.0564584
40	-70.7378	-77.10884	6.371032	0.183011	0.120286	0.114037	0.0446124	0.0724781	0.204484	0.522684	0.232615	0.244701
50	-68.75935	-76.20081	7.44146	0.0919157	0.195702	0.0838016	0.0159836	0.105467	0.165998	0.273718	0.0929783	0.633304
60	-71.03854	-71.38881	0.3502716	0.0614432	0.416153	0.321067	0.11163	0.0659826	0.212837	0.45227	0.227854	0.319876
70	-69.96372	-72.99505	3.031322	0.311144	0.112986	0.243512	0.113091	0.119314	0.0885894	0.252396	0.372437	0.375167
80	-70.82039	-76.18399	5.363605	0.0833641	0.134378	0.0535431	0.217358	0.131375	0.194221	0.550339	0.288584	0.161077
90	-73.35922	-76.33857	2.979349	0.0642875	0.353948	0.18211	0.149461	0.204614	0.0381014	0.731273	0.135667	0.133059
100	-68.35741	-75.24156	6.884148	0.163145	0.203731	0.0673349	0.0799789	0.139868	0.0464826	0.177914	0.356763	0.465323
110	-68.87288	-77.10258	8.229709	0.0983125	0.105236	0.0379234	0.106424	0.173796	0.0782333	0.452581	0.423653	0.123766
120	-73.64038	-76.29993	2.659546	0.258059	0.0557737	0.123052	0.49837	0.0375434	0.0436389	0.176801	0.189535	0.633664
130	-72.7243	-75.69336	2.969056	0.10257	0.0764293	0.0501445	0.425599	0.208442	0.130107	0.196573	0.668943	0.134483
140	-70.81564	-73.59319	2.777553	0.20795	0.0518516	0.048238	0.400643	0.130286	0.168643	0.368588	0.561186	0.0702265
150	-70.98408	-78.76049	7.776404	0.305232	0.0277147	0.102625	0.0712273	0.0423554	0.0846664	0.849253	0.0557955	0.0949519
160	-74.67858	-79.36982	4.691243	0.21697	0.0682542	0.229414	0.0168674	0.273026	0.0599832	0.62704	0.351529	0.0214312
170	-71.28846	-71.48488	0.1964159	0.085226	0.414787	0.444288	0.0363973	0.115809	0.10411	0.128735	0.769592	0.101673
180	-69.32048	-73.27236	3.951881	0.292242	0.109287	0.171225	0.127858	0.13062	0.0885687	0.17896	0.514887	0.306153
190	-67.0054	-75.75939	8.75399	0.127585	0.0686404	0.111734	0.0545937	0.0918294	0.10634	0.73931	0.0528666	0.207824
200	-68.14343	-74.10185	5.958416	0.0456815	0.30086	0.134337	0.0582528	0.100432	0.1302	0.0694114	0.0792596	0.851329
210	-66.64538	-74.01476	7.369377	0.0804049	0.112038	0.246408	0.028806	0.0452995	0.1513	0.0833706	0.321206	0.595423
220	-71.64762	-71.97481	0.3271923	0.113977	0.240691	0.412629	0.17208	0.0501331	0.201328	0.0537969	0.866277	0.0799263
230	-71.63606	-70.53327	-1.102784	0.0524733	0.498284	0.460252	0.035086	0.087002	0.164668	0.124437	0.0789854	0.796577
240	-70.06406	-73.22493	3.160861	0.26846	0.16554	0.091799	0.214269	0.183541	0.05534	0.0435464	0.520559	0.435894
250	-73.69257	-72.52063	-1.171938	0.120469	0.37063	0.287322	0.215897	0.211906	0.0967121	0.732247	0.0121301	0.255623
260	-69.67517	-71.77854	2.10337	0.122112	0.275642	0.26718	0.106168	0.132666	0.154255	0.23257	0.0621595	0.705271
270	-65.70422	-74.83267	9.128448	0.0584851	0.13562	0.155046	0.00654208	0.0647905	0.112238	0.115612	0.142813	0.741575
280	-68.61765	-73.61292	4.995266	0.161929	0.313724	0.146571	0.00256045	0.123411	0.0935867	0.113468	0.287758	0.598774
290	-69.07983	-73.2214	4.141574	0.032565	0.177572	0.429756	0.0010161	0.0896847	0.175023	0.369719	0.59983	0.0304507
300	-66.11995	-73.76348	7.643524	0.122771	0.0877216	0.230499	0.00318489	0.0726347	0.126947	0.366637	0.0792336	0.554129
310	-68.01403	-76.91884	8.904813	0.0546045	0.11064	0.112679	0.0386527	0.0533442	0.179525	0.0435227	0.125789	0.830689
320	-71.90845	-76.13758	4.229136	0.402309	0.0880864	0.0527224	0.250167	0.0608336	0.0449517	0.213023	0.591863	0.195114
330	-69.72166	-75.06087	5.339208	0.169552	0.051161	0.172633	0.150045	0.150701	0.121972	0.489752	0.496251	0.0139972
340	-71.18018	-73.60303	2.422843	0.107305	0.17932	0.38928	0.0287419	0.122756	0.206732	0.208255	0.752367	0.0393772
350	-67.83313	-77.57221	9.739077	0.104033	0.109028	0.0969392	0.0538832	0.0532434	0.0699353	0.118678	0.573266	0.308056
360	-69.64413	-74.06285	4.418722	0.237415	0.198595	0.135092	0.0935681	0.0973439	0.122879	0.413383	0.48222	0.104397
370	-68.71943	-74.20461	5.485188	0.223526	0.0387465	0.184932	0.162624	0.0708229	0.124496	0.291017	0.331676	0.377306
380	-68.81031	-75.54037	6.730063	0.0452962	0.0711527	0.329553	0.086065	0.0871831	0.0928123	0.420701	0.413211	0.166088
390	-68.509	-74.80437	6.295371	0.00234805	0.208996	0.232787	0.0396393	0.0670989	0.193698	0.294716	0.508324	0.196959
400	-67.64363	-75.55167	7.908048	0.000111658	0.156233	0.267853	0.0381314	0.0640265	0.0976228	0.0642726	0.375653	0.560075
410	-68.36581	-73.43089	5.06508	0.00144786	0.26383	0.34761	0.022919	0.0170095	0.183745	0.481878	0.0512362	0.466885
420	-66.61397	-73.93611	7.322141	0.0742663	0.107152	0.273144	0.0660119	0.0525431	0.0946725	0.0315182	0.179863	0.788619
430	-67.44277	-74.38621	6.943443	0.0931028	0.0777121	0.237048	0.113477	0.0979336	0.0768328	0.00613191	0.362747	0.631121
440	-67.72357	-73.86258	6.139001	0.11322	0.0675282	0.182205	0.122774	0.119319	0.151212	0.00203569	0.0839867	0.913978
450	-69.31198	-73.82209	4.510108	0.0304894	0.301067	0.16031	0.12752	0.114839	0.143835	0.110127	0.41668	0.473193
460	-67.43662	-73.47286	6.03624	0.136686	0.168008	0.246679	0.0266129	0.067111	0.118846	0.628079	0.184423	0.187499
470	-74.15146	-71.09241	-3.059049	0.082192	0.44952	0.47764	0.0364043	0.113682	0.284607	0.728674	0.226258	0.0450684
480	-66.77908	-74.97079	8.19171	0.0539576	0.0744242	0.225934	0.0298934	0.0573389	0.161219	0.37835	0.210955	0.410695
490	-67.66759	-73.50827	5.840676	0.0827642	0.153408	0.275088	0.0761368	0.0572048	0.133964	0.385153	0.403437	0.21141
500	-68.70108	-74.18134	5.480268	0.198772	0.209117	0.00846019	0.171586	0.124407	0.0931737	0.396833	0.593634	0.00953325
510	-70.03944	-75.54497	5.505529	0.157865	0.165834	0.0450686	0.112388	0.228142	0.0943285	0.148172	0.740669	0.111158
520	-70.46539	-75.73309	5.267698	0.318368	0.191956	0.0492181	0.131607	0.0973258	0.0329363	0.815969	0.124245	0.0597862
530	-70.24226	-74.82418	4.581925	0.0526977	0.419633	0.198483	0.071585	0.0587184	0.0715723	0.0213778	0.658091	0.320532
540	-66.95487	-75.26287	8.307998	0.182043	0.0680073	0.168744	0.00122095	0.102626	0.07143	0.00671034	0.706571	0.286718
550	-72.68948	-73.86255	1.173076	0.417599	0.17376	0.150088	0.175835	0.181115	0.02919	0.585298	0.178152	0.23655
560	-69.82086	-76.99532	7.174463	0.212501	0.0690948	0.11482	0.134196	0.0375813	0.110639	0.475911	0.304947	0.219142
570	-71.61586	-73.29229	1.676429	0.187031	0.0835584	0.258365	0.325025	0.0921577	0.143812	0.553587	0.417111	0.0293022
580	-70.84574	-74.16543	3.319682	0.263015	0.287062	0.168139	0.126267	0.044944	0.0776472	0.156789	0.380988	0.462223
590	-70.80446	-78.78479	7.980321	0.171445	0.0469526	0.22087	0.0222275	0.00539437	0.151684	0.186426	0.38264	0.430934
600	-71.35399	-78.79955	7.445564	0.0933079	0.155095	0.115162	0.206476	0.00112914	0.0873896	0.847599	0.0205853	0.131815
610	-68.94848	-75.84913	6.900656	0.233031	0.0708944	0.0261716	0.188277	0.16134	0.0195915	0.340031	0.0842151	0.575754
620	-67.29101	-75.06437	7.773355	0.0967396	0.199296	0.0838726	0.0426604	0.12697	0.0845102	0.17202	0.0692855	0.758695
630	-71.14466	-73.29928	2.154624	0.165965	0.270922	0.192886	0.16011	0.056882	0.207427	0.393366	0.459921	0.146713
